,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
81,tt_0,126,True,minmax,True,94,32,ada,recall,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
82,tt_0,126,True,minmax,True,94,32,ada,f1,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
94,tt_0,126,True,minmax,True,94,32,decision_tree,roc_auc,0.8125,0.692307692307692,0.5,0.5,0.5,0.692307692307692,{'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__splitter': 'best'}
96,tt_0,126,True,minmax,True,94,32,random_forest,recall,0.8125,0.884615384615385,0.5,1,0.666666666666667,0.884615384615385,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
99,tt_0,126,True,minmax,True,94,32,random_forest,roc_auc,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
103,tt_0,126,True,minmax,True,94,32,mlp,balanced_accuracy,0.8125,0.756410256410256,0.5,0.666666666666667,0.571428571428571,0.756410256410256,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'adam'},
104,tt_0,126,True,minmax,True,94,32,mlp,roc_auc,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__activation': 'relu', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
105,tt_1,126,True,minmax,True,94,32,gaussian_nb,precision,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 2e-09},,,,,
107,tt_1,126,True,minmax,True,94,32,gaussian_nb,f1,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 2e-09},,,,,
108,tt_1,126,True,minmax,True,94,32,gaussian_nb,balanced_accuracy,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 1e-09},,,,,
110,tt_1,126,True,minmax,True,94,32,knn,precision,0.8125,0.884615384615385,0.5,1,0.666666666666667,0.884615384615385,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'},,
115,tt_1,126,True,minmax,True,94,32,ada,precision,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.1, 'clf__n_estimators': 10},,,
116,tt_1,126,True,minmax,True,94,32,ada,recall,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
117,tt_1,126,True,minmax,True,94,32,ada,f1,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
124,tt_1,126,True,minmax,True,94,32,svm,roc_auc,0.8125,0.884615384615385,0.5,1,0.666666666666667,0.884615384615385,{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
