,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
8,all_columns,126,False,minmax,True,94,32,knn,balanced_accuracy,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 9, 'clf__p': 3, 'clf__weights': 'uniform'},,
35,reduced,126,False,minmax,True,94,32,gaussian_nb,precision,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__var_smoothing': 5e-08},,,,,
36,reduced,126,False,minmax,True,94,32,gaussian_nb,recall,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__var_smoothing': 1e-08},,,,,
37,reduced,126,False,minmax,True,94,32,gaussian_nb,f1,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__var_smoothing': 2e-09},,,,,
38,reduced,126,False,minmax,True,94,32,gaussian_nb,balanced_accuracy,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__var_smoothing': 2e-08},,,,,
39,reduced,126,False,minmax,True,94,32,gaussian_nb,roc_auc,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__var_smoothing': 1e-09},,,,,
42,reduced,126,False,minmax,True,94,32,knn,f1,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 3, 'clf__p': 3, 'clf__weights': 'distance'},,
50,reduced,126,False,minmax,True,94,32,svm,precision,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__C': 0.1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
52,reduced,126,False,minmax,True,94,32,svm,f1,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
53,reduced,126,False,minmax,True,94,32,svm,balanced_accuracy,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
54,reduced,126,False,minmax,True,94,32,svm,roc_auc,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__C': 25, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
67,reduced,126,False,minmax,True,94,32,mlp,f1,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
70,tt_0,126,False,minmax,True,94,32,gaussian_nb,precision,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__var_smoothing': 1e-09},,,,,
