,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,mean,std,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
73,tt_0,122,True,minmax,True,91,31,gaussian_nb,balanced_accuracy,0.78716020821284,0.219469126270415,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__var_smoothing': 2e-09},,,,,
77,tt_0,122,True,minmax,True,91,31,knn,f1,0.69433423719138,0.177202050354411,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'},,
78,tt_0,122,True,minmax,True,91,31,knn,balanced_accuracy,0.888591671486408,0.10471863478628,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'uniform'},,
79,tt_0,122,True,minmax,True,91,31,knn,roc_auc,0.896905725853094,0.121545031315114,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'},,
102,tt_0,122,True,minmax,True,91,31,mlp,f1,0.696703296703297,0.241942431777442,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__activation': 'relu', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
106,tt_35,122,True,minmax,True,91,31,gaussian_nb,recall,0.747252747252747,0.434587251280993,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__var_smoothing': 1e-09},,,,,
131,tt_35,122,True,minmax,True,91,31,random_forest,recall,0.936813186813187,0.108646812820248,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
137,tt_35,122,True,minmax,True,91,31,mlp,f1,0.645770895770896,0.295966070721785,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
157,tt_wilcoxon,122,True,minmax,True,91,31,svm,f1,0.661707523245985,0.20485534197418,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__C': 1000, 'clf__gamma': 0.0001, 'clf__kernel': 'sigmoid'},,,
159,tt_wilcoxon,122,True,minmax,True,91,31,svm,roc_auc,0.876951995373048,0.145377854244045,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
174,tt_wilcoxon,122,True,minmax,True,91,31,mlp,roc_auc,0.866975130133025,0.158980871863182,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
175,tt_35_premed,122,True,minmax,True,91,31,gaussian_nb,precision,0.48046398046398,0.35217155149228,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__var_smoothing': 1e-08},,,,,
177,tt_35_premed,122,True,minmax,True,91,31,gaussian_nb,f1,0.570001427144284,0.364788743405493,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__var_smoothing': 1e-09},,,,,
179,tt_35_premed,122,True,minmax,True,91,31,gaussian_nb,roc_auc,0.870300751879699,0.200268565577299,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__var_smoothing': 1e-09},,,,,
